"n ""The Call of Cthulhu,"" where is it said that ""dead Cthulhu waits dreaming""?";Arkham;Innsmouth;R'lyeh;Dunwich;R'lyeh
"In ""Herbert West: Reanimator,"" which university did West and the narrator attend?";Harvard University;Miskatonic University;Yale University;Brown University;Miskatonic University
"In ""The Colour Out of Space,"" whose farm was the site where the strange meteorite landed?";Ammi Pierce;Nahum Gardner;Zadok Allen;Wilbur Whateley;Nahum Gardner
"In ""At the Mountains of Madness,"" what name is given to the shapeless, protoplasmic slave-entities created by the Elder Things?";Zoogs;Night-gaunts;Shoggoths;Deep Ones;Shoggoths
"In ""The Case of Charles Dexter Ward,"" what was the name of the ancestor whose ""essential saltes"" Ward used to raise him from the dead?";Joseph Curwen;Ezra Weeden;Simon Orne;Marinus Willett;Joseph Curwen
"In ""The Dunwich Horror,"" which entity is Wilbur Whateley attempting to summon to ""clear off the earth""?";Cthulhu;Yog-Sothoth;Nyarlathotep;Azathoth;Yog-Sothoth
"In ""The Shadow Over Innsmouth,"" what is the name of the secret religious cult that dominates the town?";The Starry Wisdom;The Black Goat;The Esoteric Order of Dagon;The Cult of Tulu;The Esoteric Order of Dagon
"In ""The Whisperer in Darkness,"" from which dark planet at the rim of the solar system do the ""Outer Ones"" originate?";Neptune;Yuggoth;Cygnus;Aldebaran;Yuggoth
"In ""The Alchemist,"" how long did Charles Le Sorcier live to maintain the curse upon the house of the narrator?";100 years;300 years;600 years;1,000 years;600 years
"In ""Pickman's Model,"" what did the narrator find tacked to a canvas that proved Pickman's monsters were not imaginary?";An ancient manuscript;A mirror;A photograph from life;A human skull;A photograph from life
"In ""The Cats of Ulthar,"" what is the ancient and significant law that governs the town?";No man may leave after dark;No man may speak to a stranger;No man may kill a cat;No man may pray to the Old Ones;No man may kill a cat
"In ""The Shadow Over Innsmouth,"" where does the narrator stay during his visit to the town?";The Marsh House;The Gilman House;The Waite Tavern;The Esoteric Order Hall;The Gilman House
"In ""The Whisperer in Darkness,"" what is the name of the man who corresponds with Albert Wilmarth and lives on Dark Mountain?";Walter Brown;Henry Akeley;George Lawton;Pánfilo de Zamacona;Henry Akeley
"In ""Herbert West: Reanimator,"" what is the name of the fellow physician West decapitates and then reanimates during the Great War?";Major Sir Eric Moreland Clapham-Lee;Dr. Marinus Willett;Professor George Gammell Angell;Dr. Henry Pratt;Major Sir Eric Moreland Clapham-Lee
"In ""The Music of Erich Zann,"" what is the name of the street where the narrator lodgings are located?";State Street;Benefit Street;Rue d’Auseil;Water Street;Rue d’Auseil
"In ""At the Mountains of Madness,"" who is the geologist and nominal leader of the Miskatonic University Expedition?";Professor Frank H. Pabodie;Professor Lake;Professor William Dyer;Professor Atwood;Professor William Dyer
"In ""The Dunwich Horror,"" what is the true nature of the invisible monster that terrorizes the countryside?";Wilbur Whateley's father;Wilbur Whateley's grandfather;Wilbur Whateley's twin brother;Wilbur Whateley's son;Wilbur Whateley's twin brother
"In ""The Statement of Randolph Carter,"" who is the friend of Carter who disappears into an ancient sepulcher?";Harley Warren;Ward Phillips;Etienne-Laurent de Marigny;Joel Manton;Harley Warren
"In ""The Case of Charles Dexter Ward,"" which character successfully performs the final exorcism using the second formula?";Theodore Ward;Dr. Marinus Willett;Joseph Curwen;Ezra Weeden;Dr. Marinus Willett
"In ""Beyond the Wall of Sleep,"" which celestial body is referred to as the ""Demon-Star""?";Arcturus;Capella;Algol;Jupiter;Algol
"In ""Dagon,"" what natural phenomenon causes the ocean floor to rise and reveal the ancient monolith?";A massive tidal wave;A volcanic upheaval;A solar eclipse;A localized whirlpool;A volcanic upheaval
"In ""The Outsider,"" what does the narrator finally realize when he reaches out and touches the ""abomination"" in the castle?";It is a wax statue;It is a long-lost brother;He is touching a mirror and seeing his own reflection;It is an illusion of the Old Ones;He is touching a mirror and seeing his own reflection
"In ""The Rats in the Walls,"" where is the ancestral family seat located that the narrator, Delapore, restores?";Arkham;Innsmouth;Anchester;Dunwich;Anchester
"In ""The Shadow Out of Time,"" which Miskatonic University professor suffers a five-year amnesia due to a personality exchange?";Professor William Dyer;Professor Nathaniel Wingate Peaslee;Professor Albert Wilmarth;Professor Edward Derby;Professor Nathaniel Wingate Peaslee
"In ""The Festival,"" to which ancient town does the narrator return to fulfill a family tradition of attending a mysterious subterranean rite?";Kingsport;Marblehead;Salem;Providence;Kingsport
"In ""The Haunter of the Dark,"" what is the name of the ancient artifact found in the deserted church on Federal Hill?";The Silver Key;The Shining Trapezohedron;The Jade Amulet;The Glass of Leng;The Shining Trapezohedron
"In ""Dreams in the Witch-House,"" what is the name of the 17th-century witch whose room Walter Gilman specifically chooses to inhabit?";Asenath Waite;Lavinia Whateley;Keziah Mason;Goody Fowler;Keziah Mason
"In ""The Lurking Fear,"" what is the name of the mountain where the Martense mansion is located and the ""fear"" resides?";Dark Mountain;Sentinel Hill;Tempest Mountain;Hatheg-Kla;Tempest Mountain
"In ""The Temple,"" what is the designation of the German submarine that becomes disabled on the ocean floor?";U-13;U-29;U-47;U-101;U-29
"In ""The Thing on the Doorstep,"" what was the name of Asenath Waite’s father, a man suspected of being a powerful wizard?";Obed Marsh;Barnabas Marsh;Ephraim Waite;Zadok Allen;Ephraim Waite
